88424 tweets have  0 retweet
3385 tweets have  1 retweet
666 tweets have  2 retweet
241 tweets have  3 retweet
98 tweets have  4 retweet
52 tweets have  5 retweet
40 tweets have  6 retweet
16 tweets have  7 retweet
20 tweets have  8 retweet
15 tweets have  9 retweet
7 tweets have  10 retweet
7 tweets have  11 retweet
8 tweets have  12 retweet
2 tweets have  13 retweet
3 tweets have  14 retweet
1 tweets have  528 retweet
6 tweets have  17 retweet
4 tweets have  18 retweet
1 tweets have  259 retweet
1 tweets have  20 retweet
3 tweets have  21 retweet
6 tweets have  22 retweet
4 tweets have  23 retweet
3 tweets have  24 retweet
2 tweets have  25 retweet
1 tweets have  26 retweet
1 tweets have  29 retweet
1 tweets have  348 retweet
1 tweets have  671 retweet
3 tweets have  32 retweet
2 tweets have  35 retweet
4 tweets have  36 retweet
3 tweets have  37 retweet
1 tweets have  38 retweet
1 tweets have  167 retweet
1 tweets have  169 retweet
2 tweets have  42 retweet
2 tweets have  135 retweet
1 tweets have  44 retweet
3 tweets have  46 retweet
2 tweets have  49 retweet
1 tweets have  30 retweet
1 tweets have  53 retweet
1 tweets have  183 retweet
1 tweets have  57 retweet
1 tweets have  59 retweet
1 tweets have  60 retweet
1 tweets have  62 retweet
1 tweets have  319 retweet
1 tweets have  64 retweet
1 tweets have  65 retweet
1 tweets have  69 retweet
1 tweets have  71 retweet
1 tweets have  73 retweet
2 tweets have  333 retweet
2 tweets have  78 retweet
1 tweets have  82 retweet
1 tweets have  270 retweet
1 tweets have  43 retweet
1 tweets have  728 retweet
1 tweets have  164 retweet
1 tweets have  218 retweet
1 tweets have  91 retweet
2 tweets have  92 retweet
1 tweets have  263 retweet
5 tweets have  16 retweet
1 tweets have  100 retweet
1 tweets have  108 retweet
1 tweets have  146 retweet
1 tweets have  110 retweet
1 tweets have  174 retweet
5 tweets have  19 retweet
1 tweets have  118 retweet
1 tweets have  41 retweet
1 tweets have  120 retweet
1 tweets have  137 retweet
